Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Anthony Edwards,Georgia,3,172,5800,3556,837,597,0.433,0.346,0.775,33.7,20.7,4.9,3.5,6.4,0.053,-0.5,2.2
2,2,GSW,James Wiseman,Memphis,2,51,988,526,270,37,0.527,0.316,0.631,19.4,10.3,5.3,0.7,1.2,0.056,-4.6,-0.7
3,3,CHO,LaMelo Ball,,3,130,4023,2392,815,916,0.432,0.375,0.826,30.9,18.4,6.3,7,8.9,0.106,2.7,4.8
4,4,CHI,Patrick Williams,Florida State,3,115,3127,1064,503,142,0.485,0.423,0.76,27.2,9.3,4.4,1.2,4.2,0.065,-2.1,-0.1
5,5,CLE,Isaac Okoro,Auburn,3,163,4687,1351,466,267,0.442,0.307,0.753,28.8,8.3,2.9,1.6,5.8,0.06,-3.4,-1.7
6,6,ATL,Onyeka Okongwu,USC,3,126,2181,848,628,97,0.656,0,0.705,17.3,6.7,5,0.8,8.1,0.178,-0.3,1
7,7,DET,Killian Hayes,,3,122,3055,889,363,572,0.375,0.29,0.776,25,7.3,3,4.7,-0.6,-0.009,-4.1,-1.7
8,8,NYK,Obi Toppin,Dayton,3,159,2341,1093,500,132,0.501,0.319,0.76,14.7,6.9,3.1,0.8,6.1,0.126,0.8,1.6
9,9,WAS,Deni Avdija,,3,165,3981,1252,841,307,0.424,0.31,0.733,24.1,7.6,5.1,1.9,4.3,0.052,-2.4,-0.4
10,10,PHO,Jalen Smith,Maryland,3,106,1699,819,527,61,0.468,0.3,0.76,16,7.7,5,0.6,3.7,0.104,-1.8,0.1
11,11,SAS,Devin Vassell,Florida State,3,155,3691,1650,568,269,0.429,0.369,0.833,23.8,10.6,3.7,1.7,6,0.078,-0.4,1.5
12,12,SAC,Tyrese Haliburton,Iowa State,3,162,5345,2468,599,1223,0.474,0.41,0.849,33,15.2,3.7,7.5,14.2,0.128,2.9,6.6
13,13,NOP,Kira Lewis Jr.,Alabama,3,79,1251,488,111,173,0.39,0.296,0.846,15.8,6.2,1.4,2.2,0.7,0.028,-3.6,-0.5
14,14,BOS,Aaron Nesmith,Vanderbilt,3,123,1782,614,297,72,0.408,0.333,0.814,14.5,5,2.4,0.6,1.9,0.052,-3.6,-0.7
15,15,ORL,Cole Anthony,UNC,3,124,3652,1829,623,610,0.397,0.339,0.848,29.5,14.8,5,4.9,2.3,0.031,-1.8,0.2
16,16,POR,Isaiah Stewart,Washington,3,162,3918,1403,1269,169,0.52,0.351,0.715,24.2,8.7,7.8,1,9,0.11,-2,0
17,17,MIN,Aleksej Pokusevski,,3,131,2877,1052,661,275,0.389,0.302,0.696,22,8,5,2.1,-0.8,-0.013,-3.5,-1.1
18,18,DAL,Josh Green,Arizona,3,131,1991,596,296,136,0.513,0.357,0.673,15.2,4.5,2.3,1,4.4,0.107,-1.3,0.3
19,19,BRK,Saddiq Bey,Villanova,3,178,5373,2552,869,372,0.399,0.353,0.841,30.2,14.3,4.9,2.1,8.3,0.074,-0.5,2
20,20,MIA,Precious Achiuwa,Memphis,3,146,2707,1073,765,127,0.46,0.33,0.591,18.5,7.3,5.2,0.9,4.1,0.073,-3.1,-0.8
21,21,PHI,Tyrese Maxey,Kentucky,3,151,4131,2142,396,507,0.476,0.401,0.845,27.4,14.2,2.6,3.4,10.4,0.121,0.1,2.2
22,22,DEN,Zeke Nnaji,Arizona,3,102,1278,485,239,31,0.517,0.418,0.685,12.5,4.8,2.3,0.3,3,0.114,-2.4,-0.1
23,23,NYK,Leandro Bolmaro,,2,41,283,54,45,27,0.302,0.25,0.846,6.9,1.3,1.1,0.7,-0.1,-0.011,-6.2,-0.3
24,24,MIL,R.J. Hampton,,3,136,2617,979,407,277,0.408,0.339,0.683,19.2,7.2,3,2,0.8,0.015,-3.6,-1
25,25,OKC,Immanuel Quickley,Kentucky,3,170,3706,1894,503,487,0.395,0.358,0.879,21.8,11.1,3,2.9,8.7,0.112,0.3,2.2
26,26,BOS,Payton Pritchard,Oregon,3,154,2464,1037,317,279,0.432,0.407,0.895,16,6.7,2.1,1.8,5.7,0.111,0.1,1.3
27,27,UTA,Udoka Azubuike,Kansas,3,42,291,112,101,3,0.727,,0.593,6.9,2.7,2.4,0.1,1,0.16,-0.9,0.1
28,28,LAL,Jaden McDaniels,Washington,3,158,4062,1338,604,184,0.467,0.341,0.735,25.7,8.5,3.8,1.2,5,0.059,-2.9,-1
29,29,TOR,Malachi Flynn,San Diego State,3,107,1640,634,198,225,0.387,0.346,0.769,15.3,5.9,1.9,2.1,2.2,0.065,-2.1,0
30,30,BOS,Desmond Bane,TCU,3,156,4188,2305,603,383,0.464,0.436,0.889,26.8,14.8,3.9,2.5,11.8,0.135,1.7,3.9
31,31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,0.353,0,0.333,4.5,1,0.5,0.5,0,-0.035,-4.8,0
32,32,CHO,Vernon Carey Jr.,Duke,3,29,164,66,40,2,0.49,0.143,0.625,5.7,2.3,1.4,0.1,0.1,0.044,-7.6,-0.2
33,33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,0.431,0.167,0.706,5.7,1.9,1.6,0.3,0.3,0.086,-5.2,-0.2
34,34,PHI,Theo Maledon,,3,142,3124,1170,408,399,0.379,0.327,0.786,22,8.2,2.9,2.8,0.2,0.003,-4.3,-1.8
35,35,SAC,Xavier Tillman Sr.,Michigan State,3,126,1936,692,452,145,0.518,0.283,0.618,15.4,5.5,3.6,1.2,5,0.124,0.1,1
36,36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,0.318,0.25,0.6,3.9,1,1.1,0.2,0,-0.033,-9.5,-0.1
37,37,WAS,Vit Krejci,,2,43,785,211,111,67,0.405,0.327,0.833,18.3,4.9,2.6,1.6,0.7,0.042,-5,-0.6
38,38,UTA,Saben Lee,Vanderbilt,3,87,1395,481,184,283,0.437,0.262,0.731,16,5.5,2.1,3.3,2.4,0.082,-1.3,0.2
39,39,NOP,Elijah Hughes,Syracuse,2,54,498,157,67,28,0.328,0.28,0.769,9.2,2.9,1.2,0.5,-0.4,-0.039,-6.4,-0.5
40,40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,0.278,0.2,0.5,3.5,1.1,1.1,0.2,-0.1,-0.077,-7.7,-0.1
41,41,SAS,Tre Jones,Duke,3,133,2236,846,269,450,0.463,0.27,0.841,16.8,6.4,2,3.4,4.4,0.094,-1.3,0.4
42,42,NOP,Nick Richards,Kentucky,3,96,958,411,274,32,0.622,0,0.721,10,4.3,2.9,0.3,2.9,0.143,-2.3,-0.1
43,43,SAC,Jahmi'us Ramsey,Texas Tech,2,32,228,100,23,13,0.406,0.27,0.632,7.1,3.1,0.7,0.4,-0.1,-0.023,-5.9,-0.2
44,44,CHI,Marko Simonovic,,2,10,37,17,10,0,0.25,0.167,0.727,3.7,1.7,1,0,0,-0.038,-12.3,-0.1
45,45,MIL,Jordan Nwora,Louisville,3,115,1867,806,358,89,0.406,0.37,0.814,16.2,7,3.1,0.8,1.5,0.038,-3.4,-0.7
46,46,POR,CJ Elleby,Washington State,2,88,1366,407,259,97,0.39,0.275,0.717,15.5,4.6,2.9,1.1,0.5,0.018,-5.2,-1.1
47,47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,
48,48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,0.342,0.367,0.821,12.1,4.1,1.5,2.3,0.2,0.029,-3.9,-0.2
49,49,PHI,Isaiah Joe,Arkansas,3,117,1208,474,131,77,0.378,0.371,0.857,10.3,4.1,1.1,0.7,1.9,0.075,-2.3,-0.1
50,50,ATL,Skylar Mays,LSU,2,61,489,204,60,47,0.469,0.338,0.882,8,3.3,1,0.8,1.1,0.104,0.1,0.3
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,
52,52,SAC,Kenyon Martin Jr.,,3,151,3373,1399,677,187,0.528,0.351,0.665,22.3,9.3,4.5,1.2,6.5,0.093,-1.2,0.7
53,53,OKC,Cassius Winston,Michigan State,2,29,137,55,10,19,0.409,0.435,0.9,4.7,1.9,0.3,0.7,0.1,0.051,-4.9,-0.1
54,54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,0.36,0.233,0.895,7.5,2.7,1.2,0.2,0,-0.006,-7.9,-0.4
